10500 13400
229 285 13
229 270 10
230 339 54
231 459 18
232 449 30
232 271 29
232 487 29
232 407 43
232 330 66
233 292 40
233 433 18
234 355 40
234 407 29
234 296 61
234 276 16
234 3622 62
234 1333 29
235 298 68
235 338 44
236 342 57
236 5194 128
237 470 66
238 4270 10
239 470 14
239 394 26
240 490 48
240 382 37
241 398 48
241 380 50
242 465 42
242 307 29
242 313 22
244 490 19
244 307 38
244 367 20
245 319 37
245 393 40
245 329 67
245 464 12
245 465 22
245 1935 171
246 458 61
246 248 65
247 385 45
247 452 54
247 466 48
247 394 47
247 456 44
247 3339 65
248 375 69
248 437 15
248 408 14
249 275 57
249 367 62
249 486 58
250 489 15
250 337 23
250 380 53
250 274 14
250 418 12
251 276 32
251 288 51
251 415 17
252 467 20
252 294 44
253 352 21
253 371 19
254 349 61
254 329 44
255 267 39
255 387 35
255 1049 177
256 425 60
256 405 59
256 476 38
256 456 66
257 391 55
257 401 14
258 371 40
259 403 25
259 383 49
259 353 32
260 350 56
260 389 56
260 362 68
261 283 52
262 365 64
262 375 20
262 1673 32
263 294 29
263 418 39
263 431 43
264 401 44
264 367 33
265 271 46
265 412 49
265 441 65
265 3665 160
266 455 26
266 488 61
266 470 21
267 335 62
267 417 10
267 307 38
267 404 48
267 387 48
268 301 62
269 370 64
269 305 39
269 450 22
269 320 34
269 422 67
269 366 16
270 378 40
270 275 60
270 495 38
270 447 57
270 451 16
270 310 34
270 291 22
271 291 53
271 427 13
271 2270 115
272 310 58
272 456 25
272 2767 157
272 700 98
273 437 58
273 361 32
273 4709 92
274 304 60
274 277 27
274 397 43
275 314 18
275 294 22
275 493 44
277 492 24
277 308 14
277 307 57
277 305 48
278 423 12
278 382 40
278 370 62
279 369 10
279 434 24
279 305 13
280 431 21
280 447 43
280 1662 15
280 4504 13
281 492 16
281 444 57
281 1656 52
281 1242 134
281 2934 118
282 346 20
282 337 36
282 3402 46
283 345 47
283 496 62
283 400 14
283 318 45
283 427 50
283 303 60
284 368 27
284 353 45
284 296 14
284 459 33
284 303 56
285 351 21
285 4422 152
286 421 51
286 347 43
287 309 36
287 440 36
287 310 67
288 386 37
289 295 49
289 412 37
289 390 59
289 496 47
289 423 65
290 499 35
290 331 54
290 500 28
291 313 26
292 355 22
293 456 21
293 417 36
293 310 41
293 485 39
293 423 19
294 405 52
295 408 19
295 316 45
296 467 59
296 334 15
296 465 38
296 1050 82
297 483 27
297 435 46
298 421 32
299 493 49
299 308 63
300 328 14
300 384 54
300 367 39
300 312 28
300 1028 54
301 483 35
302 474 53
302 499 32
302 486 38
303 315 26
303 407 68
303 492 43
304 430 46
304 380 17
304 390 38
304 442 31
304 2856 196
305 341 45
305 444 67
305 487 59
305 326 41
306 495 61
306 398 67
306 416 66
306 459 25
306 2884 163
307 371 15
307 311 64
308 332 35
309 338 61
310 370 19
312 399 56
312 374 42
312 2798 190
313 330 57
314 491 25
314 327 30
314 432 30
315 335 35
316 445 47
316 389 22
316 419 64
316 338 43
317 397 25
317 360 41
317 404 31
317 413 46
317 382 13
318 321 29
318 346 49
318 1428 36
319 334 14
320 400 21
320 467 14
321 364 47
321 412 42
321 442 43
322 440 11
322 352 68
323 358 53
323 489 67
324 479 39
324 2984 80
325 487 49
325 3022 108
326 383 20
326 403 16
327 359 21
327 917 115
328 413 32
328 416 53
328 358 23
328 498 63
329 497 22
329 476 18
329 397 55
330 498 15
330 426 11
330 350 54
331 354 42
331 485 46
332 347 50
333 442 65
333 409 67
333 398 34
334 1138 135
335 377 20
335 421 31
336 376 27
337 363 48
337 407 45
338 461 42
338 445 52
338 477 47
338 363 17
338 487 30
339 356 66
339 371 40
339 474 55
339 458 64
339 403 54
340 452 57
340 355 66
341 409 33
342 474 45
342 390 62
342 357 37
343 452 10
344 494 23
344 395 63
345 373 32
346 421 47
346 491 61
346 425 58
346 456 51
346 381 36
347 399 45
348 487 40
349 1115 86
350 396 45
350 431 29
351 370 59
351 495 36
352 447 60
352 449 26
353 419 62
353 438 67
354 476 22
354 443 14
354 4761 168
356 420 56
357 408 26
357 441 62
357 426 53
358 408 26
358 1976 35
358 1264 41
359 446 43
359 418 23
359 463 64
360 466 39
360 415 14
360 406 32
366 465 59
369 422 15
370 412 48
372 416 34
372 441 57
375 474 25
375 449 22
375 1790 183
376 452 58
376 454 11
377 439 30
379 395 55
379 450 35
379 402 69
379 393 63
379 2229 169
380 473 48
381 405 11
381 422 11
381 445 69
381 439 49
381 4247 20
382 400 37
382 391 50
382 441 62
382 2857 12
383 427 41
383 462 23
384 448 12
384 5456 54
384 2391 57
386 412 45
387 426 22
387 437 37
388 480 59
388 447 11
388 446 15
388 410 31
389 460 54
389 430 57
389 401 58
390 439 22
390 424 16
391 496 53
392 402 51
392 404 63
393 453 55
393 406 63
393 5345 150
395 478 24
395 400 15
395 466 56
397 435 31
397 469 28
397 456 22
398 468 36
398 455 42
399 1608 158
402 459 23
402 431 45
403 426 11
404 410 59
405 2985 146
406 408 19
407 475 23
407 414 25
408 438 67
408 430 60
409 494 45
409 490 41
411 454 33
411 472 11
411 2918 26
412 452 62
413 493 47
414 428 11
414 417 44
414 488 37
415 4322 178
416 444 15
417 433 14
419 490 64
419 426 30
419 440 46
420 2311 84
421 438 69
422 472 56
422 458 61
422 2957 81
423 457 36
428 3065 10
429 477 14
430 495 67
430 3369 160
430 1946 134
431 477 68
433 485 30
433 490 69
434 436 62
436 456 17
438 490 45
438 4216 21
440 2994 138
441 465 18
441 445 17
442 448 42
442 481 46
443 455 38
443 452 33
446 468 10
448 465 28
448 492 44
448 479 29
450 486 24
451 498 63
453 655 158
455 478 51
455 4392 123
458 496 33
459 463 56
461 485 63
462 494 26
462 2735 29
463 486 11
463 473 61
464 475 27
464 477 68
466 489 42
470 4619 63
471 495 28
472 481 57
476 484 33
479 485 43
479 3074 133
481 500 59
484 493 40
497 2548 37
499 5306 12
499 1265 156
501 4307 58
501 3281 91
502 3962 91
502 5335 37
502 4853 57
503 4556 39
503 830 63
503 2994 72
504 5295 87
504 5499 87
505 3339 93
505 4996 86
506 2707 89
506 1220 68
507 4385 71
507 2181 73
508 3191 57
508 4653 39
509 4360 79
509 3224 20
510 5344 17
510 2187 51
511 3886 79
511 1086 44
511 4711 66
511 6744 101
512 973 87
512 669 88
513 4000 49
513 4863 14
514 1202 96
514 2255 77
514 4760 46
514 5378 74
515 4738 92
515 3065 47
516 3457 72
516 3054 28
516 4524 17
517 4166 44
517 1432 29
518 2175 90
518 865 87
518 2166 23
519 2658 35
519 2133 82
519 9870 52
520 3182 66
520 565 35
521 2006 62
521 2773 34
522 2198 56
522 4224 69
523 4515 39
523 1334 67
523 5371 93
523 9043 87
524 2173 80
524 2760 63
524 4150 17
525 1736 22
525 4373 30
525 2046 56
526 4902 47
526 797 53
527 2770 65
527 628 30
528 5006 42
528 1987 64
529 2577 59
529 621 37
530 1257 29
530 5321 61
531 967 27
531 3327 61
531 3760 24
532 1521 28
532 3789 42
533 1249 64
533 4084 62
534 564 64
534 2963 71
535 4023 34
535 2542 43
536 1839 61
536 2005 10
537 4660 43
537 4944 45
538 3922 35
538 2128 43
538 2525 58
539 4783 62
539 1933 75
540 4051 32
540 2124 60
541 4499 47
541 4154 78
542 2656 47
542 3445 86
543 4265 74
543 3150 50
544 3853 12
544 2173 20
544 2637 46
545 3082 23
545 3972 42
546 5015 66
546 3779 90
546 5032 49
547 1598 16
547 2257 23
548 2231 94
548 2899 38
548 6127 67
548 7512 28
549 4382 48
549 705 17
550 907 82
550 1379 40
551 4061 92
551 4350 95
551 2569 17
551 3109 84
552 1820 20
552 1739 21
553 3698 22
553 1343 78
554 5196 21
554 2996 86
555 2362 10
555 4002 26
555 8734 28
556 4334 55
556 2218 28
557 4720 32
557 1458 88
558 3364 49
558 2130 60
559 5465 16
559 2901 93
559 3072 72
559 8377 94
560 5197 12
560 5435 50
561 4085 88
561 2628 84
562 3021 43
562 4660 73
563 1790 59
563 2973 13
564 1854 90
565 596 16
565 7232 25
566 4546 87
566 1835 47
567 1851 15
567 5369 36
568 571 50
568 1119 40
569 2065 45
569 3183 46
570 611 38
570 1902 35
571 4144 95
571 4145 77
572 4068 82
572 1269 11
573 3887 32
573 2499 87
573 5199 39
574 1865 88
574 4017 80
575 2092 38
575 1449 52
576 2094 21
576 975 42
577 4975 67
577 3922 29
577 5350 53
578 3463 42
578 1388 18
578 2855 58
579 1864 56
579 2820 29
579 4259 70
580 1904 59
580 2168 63
581 1587 56
581 3677 96
581 8746 147
582 5201 65
582 4947 85
583 601 35
583 2663 35
583 2287 63
584 3004 36
584 5033 24
585 4917 23
585 2468 61
585 3746 96
586 4794 39
586 4994 44
586 747 31
586 3683 61
587 4768 76
587 2566 56
588 4161 80
588 2648 89
588 4046 29
588 5421 30
589 2402 90
589 694 88
589 1672 34
590 4629 54
590 1459 92
591 2665 71
591 1795 65
591 1745 69
592 3807 16
592 3086 89
592 5201 94
593 951 57
593 4651 48
593 1700 27
593 1572 67
594 3108 46
594 1967 69
595 3271 23
595 2007 37
596 1134 80
597 3049 10
597 3383 53
597 1211 74
598 1396 50
598 1453 92
598 924 46
599 3394 52
599 811 22
600 1717 17
600 4259 74
601 3519 71
602 3606 68
602 4441 74
603 3549 27
603 3984 29
603 4000 69
604 1816 43
604 2141 52
605 4455 59
605 1177 33
605 3925 42
606 1964 22
606 4604 53
607 3834 33
607 2980 26
608 1038 85
608 5184 49
609 2978 24
609 839 82
610 1032 39
610 4134 63
610 2414 47
611 1217 54
612 5417 68
612 1174 60
613 4452 95
613 1329 28
613 2721 65
614 2716 79
614 4643 72
615 3201 64
615 5415 70
616 2186 65
616 2825 23
616 966 68
617 3314 89
617 5413 49
618 928 78
618 3172 18
618 1135 62
619 5226 77
619 1935 69
619 3984 86
620 872 53
620 3806 44
620 2588 42
620 6513 125
621 1111 24
622 3101 88
622 3640 90
623 1653 23
623 3307 14
624 3564 42
624 2853 15
625 3173 95
625 4418 36
626 4245 74
626 1605 34
627 1187 15
627 4024 65
628 2885 33
629 3600 33
629 1790 47
630 5133 61
630 1115 23
631 1599 67
631 3160 46
631 4915 16
631 1410 77
632 4542 30
632 4680 73
633 685 94
633 3971 19
634 3977 63
634 5389 48
635 5052 60
635 4538 81
636 2384 71
636 3305 37
636 7547 65
637 3429 54
637 2422 22
638 2487 49
638 3878 44
639 1767 81
639 4883 53
640 4027 27
640 3331 73
641 825 31
641 4530 23
642 4648 80
642 1830 61
643 3039 35
643 731 79
644 732 27
644 5355 92
644 1802 50
645 3000 46
645 4848 51
645 2563 60
646 978 13
646 3756 91
647 3752 95
647 1592 41
648 3652 70
648 2981 37
649 3445 20
649 3133 82
649 1790 92
650 2556 72
650 1553 88
650 9481 180
651 3423 93
651 962 96
652 4013 94
652 3486 65
652 9877 146
653 902 84
653 5001 62
654 4411 63
654 4506 80
655 2177 64
655 2992 25
655 3566 34
656 4886 85
656 2836 87
657 2081 80
657 2657 49
658 5476 54
658 4652 89
659 2146 36
659 2321 56
659 1012 69
659 2114 57
660 3005 19
660 4588 64
661 1053 74
661 4273 45
662 2275 46
662 2926 87
662 4408 72
663 1417 74
663 1047 79
663 924 27
663 1366 24
664 3206 95
664 1235 93
665 1577 67
665 3468 14
666 1158 80
666 4246 74
666 684 29
667 1660 10
667 4398 59
668 4507 31
668 1650 41
669 971 88
670 2221 91
670 2799 65
671 4496 71
671 4747 56
672 3363 52
672 3449 66
673 1271 40
673 2668 35
674 2926 24
674 2226 41
675 3129 89
675 4628 80
675 2221 92
675 5392 26
676 2991 81
676 1859 48
677 1515 71
677 2282 46
678 3518 21
678 1959 52
679 1889 62
679 5453 21
679 3076 19
680 5474 74
680 4379 69
681 1349 34
681 5051 40
682 1541 46
682 2137 66
683 1559 42
683 1448 15
684 5453 30
684 1514 94
685 4671 94
686 4441 50
686 2262 10
687 1275 58
687 1681 59
688 3089 70
688 1069 43
689 5274 77
689 4670 71
690 4220 45
690 3010 27
690 7016 155
691 1305 55
691 2356 34
692 3584 26
692 1910 87
693 4815 87
693 3868 74
694 4669 43
695 2637 78
695 2197 61
696 1064 94
696 1774 89
697 2653 35
697 2411 16
698 2122 85
698 814 49
699 3492 28
699 1671 42
699 6159 89
700 3359 39
700 3556 70
700 4605 15
701 5104 84
701 2876 61
701 6720 66
702 2852 83
702 1783 10
703 4742 23
703 1885 65
703 2477 74
704 4325 43
704 1444 65
704 4264 85
705 5360 46
705 2946 49
706 4518 94
706 3199 85
707 4431 26
707 3664 56
707 5548 154
708 1473 50
708 4275 20
709 4313 91
709 4729 53
709 5435 60
709 1109 47
710 829 24
710 3393 58
711 3344 18
711 4158 74
712 1988 46
712 3041 70
713 5392 87
713 1875 76
714 1471 75
714 4601 31
715 4247 56
715 2145 38
716 4091 33
716 4682 15
717 1891 49
717 4737 57
718 4261 63
718 3491 75
719 4335 68
719 5205 72
720 747 31
720 4072 36
720 3215 86
721 1355 57
721 3561 81
721 3551 61
722 901 54
722 3613 70
723 923 34
723 1093 96
724 5423 57
724 1497 82
724 6741 164
725 4519 81
725 3829 34
726 3919 45
726 4101 26
727 2610 69
727 1847 92
728 988 61
728 5182 29
729 2306 78
729 5450 46
729 9113 154
730 1168 89
730 3544 57
731 3303 53
732 4632 84
733 3965 35
733 1575 39
734 1901 24
734 4526 66
735 3632 45
735 773 25
736 3954 21
736 3406 34
737 3724 20
737 5058 46
738 2313 10
738 2374 93
739 1872 53
739 2721 40
740 2404 46
740 3905 26
740 6021 159
741 2867 18
741 4945 34
742 853 27
742 4610 27
743 4951 52
743 887 84
744 1565 55
744 4114 28
745 1572 65
745 3632 86
746 5418 71
746 2937 57
746 1405 13
746 6838 190
747 2225 78
748 4107 66
748 3755 72
749 1718 53
749 4157 89
750 3026 96
750 5455 37
750 3197 36
751 2076 71
751 5233 88
752 4007 94
752 2683 90
753 3740 45
753 4204 29
753 1674 16
754 2412 70
754 1036 42
755 1428 31
755 3758 34
755 1776 36
756 5028 87
756 2633 90
757 3986 45
757 5273 37
758 2444 82
758 2651 88
758 4199 96
758 2966 67
759 2138 70
759 1694 37
759 4176 46
760 5074 80
760 3686 78
761 1046 15
761 4128 85
762 2433 96
762 2391 38
763 1973 85
763 1356 47
764 2419 20
764 3911 90
764 4843 34
765 3572 33
765 1120 28
766 3380 21
766 4913 53
767 4194 90
767 3102 96
768 3438 43
768 2995 63
769 1001 22
769 4052 38
770 3294 27
