1000 1310
93 276 46
94 143 65
95 429 50
95 469 34
96 457 62
96 322 12
96 414 24
97 253 68
98 593 38
99 159 64
100 262 55
101 231 10
102 204 29
102 178 20
103 340 18
103 327 61
104 138 45
104 445 28
105 294 43
105 174 61
106 420 50
106 348 56
107 177 38
108 443 21
109 305 13
109 272 31
110 273 60
110 145 67
110 316 42
110 328 29
111 403 69
111 291 56
112 267 18
113 411 29
114 314 67
115 401 69
115 394 59
116 363 54
117 438 17
117 356 64
117 282 38
118 196 25
119 495 18
119 255 26
120 283 67
120 333 44
121 425 58
121 371 16
121 490 37
122 471 49
122 433 40
123 484 34
123 272 20
124 353 31
124 295 31
124 250 61
125 324 63
125 434 12
126 387 59
127 450 18
127 266 14
128 319 65
128 481 52
128 405 35
128 427 10
128 395 67
128 502 13
129 181 28
129 462 54
130 143 66
131 213 15
131 212 55
132 468 28
133 358 21
133 629 21
134 167 32
134 235 12
134 398 58
135 423 31
137 445 19
137 368 33
138 322 30
138 358 10
139 408 41
140 260 67
141 157 19
141 224 27
141 307 20
142 426 19
142 324 28
143 288 37
144 188 37
144 397 39
144 682 22
145 360 11
146 257 25
146 271 14
147 345 22
147 495 30
147 319 67
148 489 27
148 287 37
148 424 22
149 218 37
150 187 44
150 498 14
151 290 63
151 437 65
151 452 61
152 242 62
152 267 68
153 334 21
154 254 24
154 175 31
155 287 30
156 277 51
157 286 56
158 252 65
158 410 42
158 199 20
159 446 57
160 488 57
161 398 17
161 286 51
161 434 41
162 328 30
162 384 46
164 227 55
164 430 40
165 464 27
165 225 17
166 321 42
166 340 45
167 357 59
167 356 30
168 323 55
168 285 45
169 315 27
169 380 12
170 362 22
171 180 60
171 228 66
172 220 54
172 482 50
173 496 20
173 828 25
174 492 55
175 389 44
176 436 64
178 302 55
179 378 30
179 250 39
180 261 12
180 403 22
181 458 35
181 193 30
182 361 39
182 412 19
183 410 36
183 429 69
184 205 57
185 346 56
185 201 35
186 191 24
186 198 26
187 493 43
188 208 31
189 306 57
190 327 23
190 352 63
190 461 24
190 364 16
191 364 56
192 422 10
192 483 40
193 400 46
194 354 10
194 467 66
195 200 13
195 379 32
196 423 24
197 242 23
197 422 25
198 367 59
199 238 66
199 265 28
200 245 10
201 341 16
201 364 11
201 423 13
202 293 15
202 248 15
203 283 64
205 500 52
206 281 55
206 439 12
206 233 18
209 394 58
209 496 18
209 441 25
210 213 54
211 456 46
211 325 35
211 363 52
211 303 63
212 362 69
213 432 54
214 323 57
215 416 17
217 384 34
218 500 39
218 350 34
219 233 42
219 419 45
220 237 45
221 498 37
221 452 53
222 240 42
222 223 50
223 344 50
224 438 14
226 396 59
226 388 30
228 431 44
229 459 12
230 282 41
230 385 34
231 361 69
231 267 31
232 449 44
232 311 59
233 247 53
234 337 14
234 246 49
236 312 24
237 431 21
238 412 39
239 326 64
240 373 56
241 263 35
241 489 21
243 332 60
243 458 27
244 405 41
244 298 69
245 405 48
245 258 34
245 818 40
246 353 55
247 472 19
248 373 30
249 284 56
249 475 17
249 486 69
250 434 41
251 333 66
251 398 69
251 315 14
252 475 17
253 483 26
253 336 59
255 471 64
256 466 23
257 308 56
258 414 52
259 311 29
260 407 15
260 345 30
263 487 52
264 280 59
264 369 64
265 427 33
266 474 20
267 424 23
269 430 44
269 331 53
270 376 46
271 330 35
271 440 37
272 339 16
273 469 64
274 465 15
274 435 25
274 365 16
275 277 45
275 316 68
276 472 52
277 400 22
278 367 57
278 420 26
279 404 44
279 455 32
279 332 42
280 368 25
281 463 33
282 407 24
285 444 38
285 295 14
288 380 15
288 320 60
289 468 44
289 374 28
290 356 18
291 494 66
292 402 17
292 499 60
292 324 49
294 481 61
295 307 28
295 301 21
296 433 63
297 356 28
297 491 42
299 384 32
300 379 59
300 342 45
301 358 20
302 436 26
303 374 33
303 406 21
304 350 60
305 338 38
306 480 66
307 308 26
309 484 69
310 395 63
312 393 27
313 448 36
313 314 35
314 451 26
314 492 65
314 505 11
316 359 41
317 415 26
318 414 30
318 445 31
319 428 45
321 462 23
325 345 55
326 459 32
328 441 23
328 631 70
329 474 39
329 486 64
330 493 23
330 491 24
331 443 11
332 416 58
332 362 57
334 409 10
336 432 68
336 338 16
337 351 46
342 365 28
343 376 57
343 446 64
346 417 13
348 375 42
349 494 52
351 417 13
352 377 13
354 439 38
355 497 58
355 370 69
357 452 26
360 485 19
362 478 43
363 406 32
363 919 62
366 401 21
369 390 20
371 382 52
372 419 35
375 467 57
381 424 64
385 387 10
385 431 18
389 411 23
391 487 36
392 404 19
395 412 10
396 470 57
397 449 49
397 443 33
402 482 38
403 415 15
408 447 12
409 464 21
413 497 62
413 448 33
418 571 42
421 485 67
425 499 20
427 444 54
428 440 45
434 490 69
440 477 51
441 454 50
442 463 28
453 455 13
461 467 43
473 492 20
473 476 29
480 486 57
501 629 28
501 945 37
501 953 69
502 544 80
502 723 18
502 784 88
502 879 38
502 542 19
503 889 44
503 794 88
504 623 19
504 940 62
504 664 39
505 898 71
505 709 78
505 916 58
506 748 60
506 732 44
507 844 59
507 749 25
507 805 68
508 540 48
508 997 18
508 958 49
509 892 87
509 720 47
510 598 87
510 621 22
511 873 93
511 672 89
512 930 14
512 778 32
512 663 46
512 922 86
513 647 11
513 905 69
514 876 73
514 767 50
515 719 40
515 976 78
515 689 41
516 548 78
516 577 11
517 843 63
517 805 55
517 570 86
518 698 17
518 738 77
518 539 68
519 545 28
519 857 10
519 655 13
520 555 15
520 886 68
521 678 33
521 971 43
522 720 69
522 995 15
523 608 91
523 963 46
523 617 62
523 918 90
524 691 27
524 775 71
524 943 48
525 612 80
525 575 26
526 562 20
526 910 62
526 861 26
527 653 61
527 783 65
527 889 88
528 631 35
528 592 53
528 608 74
529 595 14
529 935 65
530 701 27
530 982 53
530 832 22
531 925 16
531 558 71
532 935 47
532 952 22
533 584 71
533 674 77
533 937 94
534 773 67
534 992 57
535 537 86
535 836 72
536 727 69
536 645 78
536 561 62
536 759 67
537 752 10
538 841 16
538 842 35
539 592 69
539 925 20
539 736 48
540 699 95
541 575 82
541 655 31
542 672 86
542 958 55
543 807 45
543 764 75
544 796 72
545 982 27
546 838 39
546 756 22
546 840 90
547 667 50
547 787 30
547 825 11
547 712 71
548 662 84
549 857 91
549 755 86
549 575 41
549 777 33
550 587 14
550 941 30
551 945 19
551 876 42
551 816 58
552 782 84
552 936 73
552 781 23
553 825 64
553 713 35
554 777 62
554 590 41
555 714 54
556 853 73
556 869 63
556 805 15
557 755 14
557 618 27
557 922 15
557 861 62
557 780 19
558 715 25
558 639 69
559 946 23
559 979 57
560 975 85
560 999 13
561 632 65
561 711 21
562 684 93
563 793 23
563 880 72
563 684 69
564 590 62
564 933 38
564 808 79
565 970 82
565 932 52
566 908 88
566 877 26
566 578 50
567 858 54
567 1000 69
568 673 49
568 955 33
569 723 42
569 808 42
569 612 25
569 971 39
570 985 90
570 906 89
571 635 15
571 670 15
572 832 28
572 718 60
572 594 12
573 783 93
573 986 61
574 741 19
574 850 25
574 896 28
575 730 54
576 659 78
576 871 91
576 831 86
577 602 16
578 594 57
578 811 51
578 734 74
578 725 95
579 902 88
579 727 11
580 696 41
580 603 28
580 854 23
581 750 57
581 918 12
581 937 44
582 597 20
582 874 28
582 762 72
583 716 45
583 750 47
584 739 38
584 890 26
585 806 91
585 699 70
586 740 58
586 962 72
586 716 80
587 988 50
588 937 20
588 788 58
588 661 92
589 848 24
589 604 78
589 650 22
590 813 53
591 683 94
591 596 71
592 960 41
593 724 40
593 865 47
594 810 89
594 961 20
594 846 94
595 886 35
595 952 21
596 697 13
597 641 31
597 689 11
598 660 31
599 895 13
599 820 58
599 761 46
600 874 38
600 703 40
601 981 13
601 938 92
602 861 56
603 817 77
604 700 48
605 733 58
605 798 80
606 845 96
606 725 81
607 812 65
607 956 90
608 964 66
608 930 16
609 745 61
609 792 68
610 639 45
610 838 57
611 645 58
611 846 79
612 646 35
612 628 92
612 859 96
613 910 78
613 735 40
613 825 52
613 900 78
614 679 53
614 745 65
615 827 61
615 937 68
616 951 40
616 993 96
617 774 58
617 682 30
617 938 41
618 631 37
618 726 56
619 860 68
619 828 15
620 952 85
620 696 16
620 808 21
621 990 87
622 756 27
622 883 74
622 668 20
623 862 48
623 701 48
624 861 71
624 795 54
624 717 59
624 965 52
625 957 55
625 919 68
625 634 35
626 914 53
626 710 93
627 971 35
627 653 32
628 916 38
628 994 24
628 801 33
629 676 80
629 983 89
629 847 66
630 657 74
630 832 75
632 883 74
633 728 68
633 894 47
634 769 46
634 717 26
634 708 81
635 725 56
636 847 76
636 959 45
636 812 79
637 702 68
637 827 81
637 978 76
637 646 30
638 995 89
638 746 46
639 649 56
639 940 24
640 947 45
640 942 64
641 943 12
641 939 80
642 686 44
642 671 52
643 870 76
643 714 77
643 709 96
644 775 75
644 939 70
644 715 22
646 864 29
647 878 14
647 915 87
647 866 87
647 806 46
648 715 74
648 809 31
649 729 82
650 900 70
650 985 79
651 732 92
651 667 76
652 726 78
652 668 65
653 910 88
654 665 74
654 855 62
655 915 34
656 658 56
656 683 94
656 685 12
657 823 57
658 978 73
658 919 27
659 828 68
659 980 10
659 680 72
660 911 84
661 854 14
661 831 81
662 700 67
662 928 26
663 721 21
663 695 51
664 920 81
664 896 24
664 678 36
665 961 84
666 764 24
666 789 55
666 840 35
668 901 31
669 881 16
669 818 47
670 768 77
670 758 36
670 796 87
671 887 19
671 681 10
673 787 82
674 948 48
674 723 44
675 941 82
675 731 83
676 917 42
676 978 15
677 919 28
677 904 95
677 940 79
678 692 29
679 903 35
679 916 90
680 682 81
680 760 50
681 697 67
681 884 19
681 965 50
682 874 40
684 737 46
685 956 76
685 970 74
686 968 68
686 873 56
686 916 90
687 789 22
687 961 96
687 814 88
688 771 59
688 782 36
689 926 44
689 957 20
690 891 15
690 914 25
691 821 66
691 785 20
692 791 65
692 967 75
692 843 57
693 759 42
693 753 78
693 993 52
694 717 89
694 758 36
695 785 64
695 729 89
696 984 56
698 819 39
699 793 73
701 794 22
701 779 96
701 927 92
702 829 80
703 835 80
704 893 18
704 881 39
704 969 76
705 996 10
705 929 85
705 956 54
706 795 94
706 814 78
706 760 88
707 778 69
707 868 40
707 744 22
708 710 87
708 741 66
709 977 54
710 829 24
711 716 38
711 937 80
711 787 84
711 808 96
712 757 37
712 851 55
713 777 20
713 834 20
717 936 59
717 822 89
717 725 55
718 747 30
718 786 70
719 753 92
720 922 60
720 849 10
721 918 12
721 847 28
722 815 45
722 813 70
722 870 12
724 979 76
724 997 78
724 989 73
725 839 45
725 791 30
725 780 13
726 962 30
728 967 84
729 884 84
730 760 91
730 759 74
730 978 43
731 816 10
731 777 82
733 749 87
734 871 18
734 804 29
735 898 94
735 821 82
736 802 13
736 762 63
737 997 91
738 801 31
739 880 68
739 771 62
740 990 95
741 806 10
742 765 82
742 849 95
743 901 83
743 981 71
744 780 64
744 989 83
744 941 88
745 926 55
746 983 62
747 844 90
748 993 10
751 772 90
751 943 25
752 972 96
754 924 67
754 934 79
754 884 89
755 843 18
757 818 69
757 815 40
758 853 60
758 759 72
758 978 71
760 935 94
761 833 40
761 900 25
762 790 91
763 799 38
763 872 12
764 915 48
765 820 28
766 921 24
766 830 77
767 902 59
768 834 89
769 929 66
770 790 80
770 975 65
771 991 55
771 844 59
771 903 26
772 955 87
772 793 34
773 906 32
774 852 27
776 842 28
776 974 85
778 991 88
778 888 54
779 869 25
779 821 81
780 808 28
780 834 45
781 998 80
781 856 93
781 977 78
782 995 49
784 931 56
784 885 39
785 822 44
786 885 64
786 951 35
788 891 76
791 934 87
792 812 64
793 813 21
794 971 80
795 941 95
796 949 76
796 814 56
797 846 93
797 908 86
797 868 49
798 867 14
799 922 15
800 923 45
800 991 20
800 892 14
801 858 62
801 923 41
801 972 63
801 988 94
802 840 80
803 936 91
803 875 72
804 968 86
805 967 65
806 940 44
807 890 36
809 988 50
810 836 89
811 848 86
814 927 37
815 824 33
815 904 15
816 841 92
816 884 68
817 873 94
817 881 12
819 932 63
821 951 58
821 906 85
822 845 23
823 1000 48
824 866 78
825 986 24
826 994 78
826 921 22
827 989 84
829 965 10
830 909 61
831 864 44
833 933 89
833 878 44
833 993 11
834 946 66
835 895 16
837 865 74
837 852 64
839 939 76
839 949 38
840 969 22
842 847 23
843 909 96
844 909 24
847 963 94
847 899 17
849 866 31
850 996 32
851 954 24
852 894 17
854 887 47
854 921 30
855 870 29
856 897 15
856 857 58
856 968 62
858 947 84
859 927 20
859 888 63
860 877 30
860 966 13
862 938 86
863 907 60
863 890 40
867 882 23
868 903 88
871 872 27
872 913 56
873 899 51
875 930 70
878 888 89
879 954 42
879 899 89
882 987 20
884 945 30
889 976 86
892 897 46
893 904 74
894 923 22
894 908 15
895 935 47
896 998 19
899 944 55
900 988 21
901 936 84
905 960 56
907 913 59
911 974 41
912 959 28
912 980 72
912 926 12
915 978 55
916 983 34
917 999 66
920 980 39
922 977 22
924 973 46
925 971 86
925 956 88
926 948 26
928 953 83
928 964 42
931 989 19
936 969 93
942 984 72
944 966 85
947 987 63
948 975 63
950 966 49
950 972 59
953 958 44
960 969 83
965 992 59
971 991 57
973 984 28
249 742
